hexID,t.count,t.pos,t.neg,t.neu,i.count,i.pos,i.neg,i.neu,t.norm,i.norm,odds
1,1,0,0,0,11,5.40833333333333,1.056,2.53666666666667,0,0.395666666666667,0
2,1,0,0,0,1,0,0,0,0,0,0
3,1,0,0,0,29,14.9193333333333,4.81702380952381,9.26480952380952,0,0.348355500821018,0
4,1,0,0,0,1,0,0,0,0,0,0
5,1,0,0,0,1,0,0,0,0,0,0
6,1,0,0,0,1,0,0,0,0,0,0
7,1,0,0,0,1,0,0,0,0,0,0
8,1,0,0,0,2,1.44871428571429,0.136,0.415285714285714,0,0.656357142857143,0
9,1,0,0,0,1,0,0,0,0,0,0
10,1,0,0,0,1,0,0,0,0,0,0
11,1,0,0,0,1,0,0,0,0,0,0
12,1,0,0,0,1,0,0,0,0,0,0
13,1,0,0,0,1,0,0,0,0,0,0
14,1,0,0,0,1,0,0,0,0,0,0
15,1,0,0,0,1,0,0,0,0,0,0
16,1,0,0,0,1,0,0,0,0,0,0
17,1,0,0,0,1,0,0,0,0,0,0
18,1,0,0,0,1,0,0,0,0,0,0
19,1,0,0,0,1,0,0,0,0,0,0
20,1,0,0,0,1,0,0,0,0,0,0
21,1,0,0,0,1,0,0,0,0,0,0
22,1,0,0,0,6,3.348,0.535,2.12,0,0.468833333333333,0
23,1,0,0,0,1,0,0,0,0,0,0
24,1,0,0,0,1,0,0,0,0,0,0
25,1,0,0,0,2,1.206,0.296,0.498,0,0.455,0
26,1,0,0,0,1,0,0,0,0,0,0
27,1,0,0,0,1,0,0,0,0,0,0
28,1,0,0,0,1,0,0,0,0,0,0
29,1,0,0,0,1,0,0,0,0,0,0
30,1,0,0,0,1,0,0,0,0,0,0
31,1,0,0,0,1,0,0,0,0,0,0
32,1,0,0,0,1,0,0,0,0,0,0
33,1,0,0,0,1,0,0,0,0,0,0
34,1,0,0,0,1,0,0,0,0,0,0
35,1,0,0,0,1,0,0,0,0,0,0
36,1,0,0,0,1,0,0,0,0,0,0
37,1,0,0,0,1,0,0,0,0,0,0
38,1,0,0,0,1,0,0,0,0,0,0
39,1,0,0,0,5,2.674,0.813,1.513,0,0.3722,0
40,5,2.56933333333333,0.875333333333333,1.554,1,0,0,0,0.3388,0,0
41,1,0.449,0.14,0.411,1,0,0,0,0.309,0,0
42,1,0,0,0,1,0,0,0,0,0,0
43,1,0,0,0,1,0,0,0,0,0,0
44,1,0,0,0,1,0,0,0,0,0,0
45,1,0,0,0,1,0,0,0,0,0,0
46,1,0,0,0,1,0,0,0,0,0,0
47,1,0,0,0,1,0,0,0,0,0,0
48,3,1.5445,0.63,0.8255,1,0,0,0,0.304833333333333,0,0
49,1,0,0,0,1,0.754,0.053,0.193,0,0.701,0
50,2,1.267,0.16,0.574,91,47.9030944444444,12.6814277777778,25.4112,0.5535,0.387051282051282,0.0264492307792225
51,1,0,0,0,1,0,0,0,0,0,0
52,19,10.4523333333333,1.717,5.82925,1,0,0,0,0.459754385964912,0,0
53,20,11.91345,1.92864166666667,6.161025,1,0,0,0,0.499240416666667,0,0
54,1,0,0,0,1,0,0,0,0,0,0
55,1,0,0,0,1,0,0,0,0,0,0
56,1,0,0,0,1,0,0,0,0,0,0
57,2,1.05,0.271,0.679,1,0,0,0,0.3895,0,0
58,1,0,0,0,1,0,0,0,0,0,0
59,1,0.318,0.464,0.219,1,0,0,0,-0.146,0,0
60,1,0,0,0,1,0,0,0,0,0,0
61,1,0,0,0,1,0,0,0,0,0,0
62,1,0,0,0,1,0,0,0,0,0,0
63,1,0,0,0,9,4.62,1.4375,2.9425,0,0.353611111111111,0
64,1,0,0,0,5,0.6945,0.2055,1.1005,0,0.0978,0
65,1,0,0,0,5,3.173,0.437,1.389,0,0.5472,0
66,2,1.1885,0.1905,0.621,1,0,0,0,0.499,0,0
67,1,0,0,0,1,0,0,0,0,0,0
68,1,0,0,0,1,0,0,0,0,0,0
69,18,8.1945,4.21716666666667,5.58666666666667,6,2.989,0.599,1.412,0.220962962962963,0.398333333333333,2.74155235864838
70,1,0,0,0,1,0,0,0,0,0,0
71,1,0,0,0,1,0,0,0,0,0,0
72,1,0,0,0,1,0,0,0,0,0,0
73,1,0,0,0,1,0,0,0,0,0,0
74,1,0,0,0,1,0,0,0,0,0,0
75,1,0,0,0,1,0,0,0,0,0,0
76,47,27.63175,5.42633333333333,13.94325,233,115.786986111111,22.8388194444444,67.3544277777778,0.472455673758865,0.398919170243205,0.23864296781578
77,472,272.189008730159,53.170251984127,142.636627380952,158,85.2169976190476,14.6190833333333,44.1619071428571,0.464022789716169,0.446822242314647,3.1940694501694
78,536,318.210423809524,57.8196928571429,147.999042857143,12,7.41575,1.26744444444444,3.31825,0.485803602523099,0.512358796296296,42.9100797369819
79,3,1.249,0.968,0.784,1,0,0,0,0.0936666666666667,0,0
80,1,0,0,0,1,0,0,0,0,0,0
81,31,17.016,5.13475,8.84616666666667,1,0,0,0,0.383266129032258,0,0
82,18,8.65316666666667,4.025,5.316,1,0,0,0,0.25712037037037,0,0
83,1,0,0,0,1,0,0,0,0,0,0
84,14,7.129,3.178,3.697,1,0,0,0,0.282214285714286,0,0
85,3,1.245,0.944,0.811,1,0,0,0,0.100333333333333,0,0
86,1,0,0,0,1,0,0,0,0,0,0
87,1,0,0,0,1,0,0,0,0,0,0
88,2,0.72,0.062,0.218,1,0,0,0,0.329,0,0
89,1,0,0,0,1,0,0,0,0,0,0
90,1,0,0,0,1,0,0,0,0,0,0
